PairID,Algorithm,X,Y,Z
1,RRT,1.55389,-0.0452396,0.628848
1,RRT,1.55424,-0.0456826,0.628421
1,RRT,1.55527,-0.0470181,0.627139
1,RRT,1.55697,-0.0492648,0.624993
1,RRT,1.55933,-0.0524538,0.621969
1,RRT,1.5623,-0.0566284,0.618049
1,RRT,1.56584,-0.0618437,0.613211
1,RRT,1.5699,-0.0681658,0.607426
1,RRT,1.5741,-0.0751457,0.601135
1,RRT,1.57812,-0.082319,0.594766
1,RRT,1.58196,-0.0896829,0.588322
1,RRT,1.58562,-0.0972343,0.581805
1,RRT,1.58908,-0.10497,0.575218
1,RRT,1.59234,-0.112886,0.568565
1,RRT,1.59539,-0.120978,0.561847
1,RRT,1.59823,-0.129243,0.555069
1,RRT,1.60084,-0.137676,0.548233
1,RRT,1.60323,-0.146273,0.541342
1,RRT,1.60539,-0.155029,0.5344
1,RRT,1.60731,-0.16394,0.52741
1,RRT,1.60899,-0.172999,0.520375
1,RRT,1.61041,-0.182202,0.513298
1,RRT,1.61158,-0.191544,0.506184
1,RRT,1.61249,-0.201017,0.499035
1,RRT,1.61313,-0.210618,0.491855
1,RRT,1.6135,-0.220339,0.484647
1,RRT,1.6136,-0.230175,0.477416
1,RRT,1.61342,-0.240119,0.470165
1,RRT,1.61295,-0.250164,0.462897
1,RRT,1.61219,-0.260303,0.455616
1,RRT,1.61114,-0.270531,0.448326
1,RRT,1.6098,-0.280839,0.441031
1,RRT,1.60815,-0.291221,0.433734
1,RRT,1.60621,-0.301669,0.42644
1,RRT,1.60395,-0.312176,0.419151
1,RRT,1.60139,-0.322734,0.411873
1,RRT,1.59852,-0.333336,0.404609
1,RRT,1.59533,-0.343974,0.397362
1,RRT,1.59183,-0.35464,0.390137
1,RRT,1.58801,-0.365326,0.382938
1,RRT,1.58387,-0.376024,0.375769
1,RRT,1.57941,-0.386726,0.368632
1,RRT,1.57463,-0.397424,0.361534
1,RRT,1.56953,-0.408109,0.354476
1,RRT,1.5641,-0.418774,0.347464
1,RRT,1.55836,-0.42941,0.340502
1,RRT,1.55229,-0.440008,0.333592
1,RRT,1.5459,-0.45056,0.326739
1,RRT,1.53918,-0.461059,0.319948
1,RRT,1.53215,-0.471495,0.313221
1,RRT,1.5248,-0.48186,0.306563
1,RRT,1.51713,-0.492146,0.299978
1,RRT,1.50914,-0.502345,0.293469
1,RRT,1.50084,-0.512447,0.28704
1,RRT,1.49223,-0.522446,0.280695
1,RRT,1.48331,-0.532332,0.274437
1,RRT,1.47408,-0.542097,0.268271
1,RRT,1.46455,-0.551734,0.2622
1,RRT,1.45472,-0.561235,0.256228
1,RRT,1.44459,-0.57059,0.250358
1,RRT,1.43417,-0.579794,0.244593
1,RRT,1.42346,-0.588837,0.238938
1,RRT,1.41247,-0.597712,0.233396
1,RRT,1.4012,-0.606412,0.22797
1,RRT,1.38966,-0.614929,0.222663
1,RRT,1.37784,-0.623256,0.217479
1,RRT,1.36577,-0.631385,0.212421
1,RRT,1.35343,-0.639311,0.207492
1,RRT,1.34085,-0.647025,0.202695
1,RRT,1.32801,-0.654522,0.198034
1,RRT,1.31494,-0.661795,0.193511
1,RRT,1.30164,-0.668837,0.189129
1,RRT,1.28811,-0.675643,0.184891
1,RRT,1.27436,-0.682205,0.1808
1,RRT,1.2604,-0.68852,0.176858
1,RRT,1.24623,-0.694581,0.173068
1,RRT,1.23187,-0.700383,0.169433
1,RRT,1.21732,-0.70592,0.165956
1,RRT,1.20259,-0.711188,0.162637
1,RRT,1.18769,-0.716183,0.15948
1,RRT,1.17262,-0.720899,0.156488
1,RRT,1.15739,-0.725333,0.153661
1,RRT,1.14202,-0.72948,0.151003
1,RRT,1.12651,-0.733337,0.148514
1,RRT,1.11086,-0.736901,0.146198
1,RRT,1.0951,-0.740168,0.144055
1,RRT,1.07922,-0.743135,0.142087
1,RRT,1.06324,-0.745801,0.140297
1,RRT,1.04717,-0.748161,0.138685
1,RRT,1.03101,-0.750214,0.137252
1,RRT,1.01478,-0.751959,0.136001
1,RRT,0.998476,-0.753394,0.134932
1,RRT,0.98212,-0.754516,0.134046
1,RRT,0.965717,-0.755326,0.133345
1,RRT,0.949277,-0.755823,0.132829
1,RRT,0.932809,-0.756006,0.132498
1,RRT,0.916323,-0.755874,0.132355
1,RRT,0.899828,-0.755428,0.132398
1,RRT,0.883335,-0.754669,0.13263
1,RRT,0.866852,-0.753597,0.133049
1,RRT,0.850389,-0.752212,0.133657
1,RRT,0.833957,-0.750516,0.134453
1,RRT,0.817564,-0.748511,0.135438
1,RRT,0.80122,-0.746197,0.136611
1,RRT,0.784934,-0.743578,0.137973
1,RRT,0.768715,-0.740655,0.139522
1,RRT,0.752574,-0.737431,0.14126
1,RRT,0.736519,-0.733909,0.143184
1,RRT,0.720559,-0.730092,0.145296
1,RRT,0.704703,-0.725983,0.147593
1,RRT,0.688961,-0.721585,0.150075
1,RRT,0.67334,-0.716904,0.152742
1,RRT,0.65785,-0.711941,0.155592
1,RRT,0.642499,-0.706703,0.158624
1,RRT,0.627295,-0.701193,0.161837
1,RRT,0.612247,-0.695416,0.16523
1,RRT,0.597362,-0.689378,0.168801
1,RRT,0.582649,-0.683083,0.172549
1,RRT,0.568116,-0.676538,0.176473
1,RRT,0.553769,-0.669746,0.180569
1,RRT,0.539616,-0.662716,0.184838
1,RRT,0.525665,-0.655452,0.189276
1,RRT,0.511921,-0.647961,0.193882
1,RRT,0.498393,-0.640249,0.198654
1,RRT,0.485087,-0.632323,0.20359
1,RRT,0.472008,-0.62419,0.208687
