PairID,Algorithm,PlanningTime_ms,ExecutionTime_ms,Smoothness,PathLength
1,RRT,138,20146,0.00383379,7.38892
1,RRT*,5048,20563,0.00575081,4.32732
2,RRT,110,15781,0.00373162,5.25137
2,RRT*,5062,18710,0.0039863,5.96668
3,RRT,85,21535,0.00309768,5.31915
3,RRT*,5053,25265,0.00259924,4.46223
4,RRT,104,20260,0.00294007,7.40005
4,RRT*,5046,21064,0.00650341,3.3921
5,RRT,85,20972,0.00436227,5.43152
5,RRT*,5070,21900,0.00493843,4.51966
6,RRT,66,6428,0.00537812,3.77063
6,RRT*,5046,15906,0.00539926,3.52888
7,RRT,65,14647,0.0087085,4.08681
7,RRT*,5039,23170,0.00575838,3.57969
8,RRT,102,16051,0.0025513,4.84191
8,RRT*,5075,24356,0.00560296,3.88355
9,RRT,99,34245,0.0032105,9.17644
9,RRT*,5064,23116,0.0067554,4.1428
10,RRT,154,28312,0.00275037,6.9793
10,RRT*,5039,12751,0.0154388,1.67403
11,RRT,87,29298,0.00399128,5.81754
11,RRT*,5044,21011,0.00943579,3.27066
12,RRT,70,28380,0.00332012,4.39039
12,RRT*,5042,17297,0.00477858,5.15314
13,RRT,104,31335,0.00210321,6.52632
13,RRT*,5062,5057,0.00505758,5.05102
14,RRT,73,81,0.00497662,6.97639
14,RRT*,5042,5055,0.00685245,3.68994
15,RRT,77,81,0.00331638,4.74418
15,RRT*,5057,5059,0.00330736,4.77784
16,RRT,80,71,0.00310707,5.43597
16,RRT*,5063,5022,0.00262277,5.09652
17,RRT,79,69,0.00433124,6.56611
17,RRT*,5067,5039,0.0096722,4.53318
18,RRT,72,93,0.00493997,5.0934
18,RRT*,5035,5058,0.0109855,4.28613
19,RRT,76,62,0.00801083,5.24406
19,RRT*,5064,5041,0.00440494,5.54314
20,RRT,143,76,0.00305841,7.70208
20,RRT*,5054,5049,0.00547894,5.26532
21,RRT,71,56,0.00321788,4.56452
21,RRT*,5026,5039,0.00897616,1.91578
22,RRT,102,100,0.00356393,4.82036
22,RRT*,5060,5053,0.00623135,4.64139
23,RRT,82,100,0.00199494,5.80264
23,RRT*,5074,5051,0.00163491,5.00202
24,RRT,108,132,0.00294124,7.41548
24,RRT*,5052,5059,0.00998812,4.98206
25,RRT,81,65,0.00611174,5.75026
25,RRT*,5050,5058,0.00881626,4.19063
26,RRT,109,91,0.00269304,7.56095
26,RRT*,5071,5057,0.00323667,5.07485
27,RRT,48,105,0.00562742,2.52422
27,RRT*,5027,5036,0.0114212,1.42656
28,RRT,74,58,0.00265366,7.21878
28,RRT*,5057,5065,0.0018871,5.01159
29,RRT,491,446,0.00264182,5.16577
29,RRT*,5087,5068,0.00264748,6.52064
30,RRT,91,84,0.00268112,6.49268
30,RRT*,5037,5046,0.00941765,4.27849
31,RRT,67,146,0.00651849,5.13154
31,RRT*,5037,5050,0.0167315,1.06228
32,RRT,89,65,0.00588032,5.71252
32,RRT*,5075,5037,0.00489726,4.57539
33,RRT,76,88,0.00284795,5.07492
33,RRT*,5060,5069,0.00502738,3.56997
34,RRT,64,67,0.00188548,5.43853
34,RRT*,5065,5066,0.00485419,4.32378
35,RRT,93,91,0.00202114,6.4085
35,RRT*,5054,5037,0.00579866,3.69049
36,RRT,84,71,0.00210464,4.76718
36,RRT*,5048,5073,0.00544082,4.05961
37,RRT,104,74,0.00297006,6.49183
37,RRT*,5052,5045,0.00800566,3.88085
38,RRT,80,62,0.00266419,6.1752
38,RRT*,5026,5062,0.0129413,1.25214
39,RRT,121,109,0.00286188,8.8985
39,RRT*,5030,5065,0.0188612,0.98471
40,RRT,81,113,0.00665645,6.04823
40,RRT*,5057,5042,0.00232259,4.69726
41,RRT,112,23865,0.00509937,4.83519
41,RRT*,5057,23260,0.00649723,4.3133
42,RRT,90,29014,0.0033962,7.04987
42,RRT*,5035,9333,0.00464989,3.7302
43,RRT,108,16969,0.00375843,4.46702
43,RRT*,5055,22005,0.00797818,4.09723
44,RRT,80,21789,0.00347423,5.14438
44,RRT*,5041,22703,0.00671265,3.41687
45,RRT,104,17072,0.00451091,7.10551
45,RRT*,5050,26773,0.0034657,4.25538
46,RRT,91,25088,0.00437235,5.97148
46,RRT*,5063,10085,0.00318509,5.57131
47,RRT,82,14880,0.00623439,5.73416
47,RRT*,5041,19896,0.00584547,3.51227
48,RRT,104,19146,0.00243453,5.20086
48,RRT*,5063,25791,0.002077,4.93622
49,RRT,90,20289,0.003711,5.5459
49,RRT*,5037,25110,0.0110666,3.61356
50,RRT,92,22809,0.0073615,6.06842
50,RRT*,5042,18547,0.00494792,4.84969
51,RRT,108,24848,0.00221495,5.01547
51,RRT*,5051,25208,0.00650422,3.18912
52,RRT,42,78024,0.00777162,2.30404
52,RRT*,5045,28912,0.00773856,2.26248
53,RRT,125,63376,0.00284374,8.45153
53,RRT*,5045,5025,0.0453876,1.33157
54,RRT,93,135,0.0220805,4.99897
54,RRT*,5083,5087,0.00341785,4.69192
55,RRT,92,72,0.00397287,5.80864
55,RRT*,5056,29730,0.00292209,4.32568
56,RRT,78,21196,0.00249648,4.73982
56,RRT*,5039,22565,0.00769301,3.91944
57,RRT,77,16788,0.00343685,3.98844
57,RRT*,5041,19115,0.016199,1.86125
58,RRT,61,24910,0.0139456,1.74774
58,RRT*,5025,15250,0.0106953,1.36039
59,RRT,90,13565,0.0022613,5.81769
59,RRT*,5025,13745,0.0878486,0.374164
60,RRT,48,26056,0.00785983,2.30311
60,RRT*,5051,17289,0.00391633,5.17194
61,RRT,96,13835,0.00532277,6.38316
61,RRT*,5061,19053,0.00379475,5.2202
62,RRT,75,23059,0.00219857,4.25433
62,RRT*,5053,26216,0.00242577,4.28653
63,RRT,136,19587,0.00325937,8.50026
63,RRT*,5077,38206,0.00428221,6.25832
64,RRT,73,14877,0.00323158,5.49732
64,RRT*,5055,23609,0.00590757,3.92392
65,RRT,60,20588,0.00700705,5.85916
65,RRT*,5059,23906,0.00296371,4.59867
66,RRT,74,18732,0.00699885,4.1714
66,RRT*,5047,24964,0.00651478,4.09347
67,RRT,96,25953,0.00305614,7.53756
67,RRT*,5033,15795,0.00661524,1.80098
68,RRT,68,24944,0.00263162,6.16863
68,RRT*,5039,19757,0.00787778,4.12001
69,RRT,538,23065,0.00457106,7.00497
69,RRT*,5067,12499,0.0161019,2.10927
70,RRT,78,19680,0.00316316,5.39193
70,RRT*,5020,8840,0.024081,1.1116
71,RRT,81,15914,0.00303404,6.31865
71,RRT*,5040,20856,0.00840043,4.13228
72,RRT,100,24690,0.00255213,5.96653
72,RRT*,5051,7591,0.00791756,4.1776
73,RRT,74,18040,0.00205102,4.266
73,RRT*,5045,26913,0.0044638,4.20899
74,RRT,76,23238,0.0110621,5.53846
74,RRT*,5028,12190,0.0153808,2.14166
75,RRT,137,27071,0.00282544,7.2957
75,RRT*,5024,5086,0.0338029,0.794632
76,RRT,107,138,0.00254859,6.20253
76,RRT*,5075,5057,0.00214397,5.37908
77,RRT,144,60,0.00334951,8.57754
77,RRT*,5049,5050,0.0129187,4.39186
78,RRT,57,98,0.00562832,3.70493
78,RRT*,5056,5051,0.00529956,4.25197
79,RRT,70,77,0.00366911,6.47043
79,RRT*,5051,5057,0.00545179,3.92408
80,RRT,97,134,0.00489769,8.12859
80,RRT*,5078,5083,0.00213033,5.63146
81,RRT,82,83,0.00514845,5.29792
81,RRT*,5045,5046,0.010331,4.3645
82,RRT,67,95,0.00746592,4.44452
82,RRT*,5050,5056,0.00735383,4.43103
83,RRT,107,109,0.00594224,5.23277
83,RRT*,5055,5041,0.00495704,4.36652
84,RRT,101,85,0.00215575,7.91081
84,RRT*,5054,5051,0.0048775,4.34456
85,RRT,89,22834,0.0052694,7.07767
85,RRT*,5042,17550,0.00442468,3.10668
86,RRT,89,15561,0.00394564,4.5836
86,RRT*,5062,20594,0.00314038,5.07986
87,RRT,127,24279,0.00291397,7.63058
87,RRT*,5048,20998,0.00489324,4.20847
88,RRT,100,18575,0.00342359,4.25757
88,RRT*,5031,10392,0.0074339,2.58166
89,RRT,81,17928,0.00745943,5.5057
89,RRT*,5043,15948,0.0057382,3.53069
90,RRT,138,22030,0.00285169,6.86698
90,RRT*,5040,20260,0.00412009,3.54503
91,RRT,37,14320,0.01027,2.06872
91,RRT*,5047,15395,0.00600394,2.26794
92,RRT,77,15722,0.00449705,5.83318
92,RRT*,5042,28763,0.010539,4.11476
93,RRT,97,19830,0.00420162,6.05543
93,RRT*,5053,18431,0.00903915,4.17648
94,RRT,112,21271,0.00355903,7.27372
94,RRT*,5073,22369,0.00284698,5.02206
95,RRT,93,15035,0.00219252,6.94726
95,RRT*,5037,20122,0.00738833,3.9236
96,RRT,66,12317,0.00915803,3.24032
96,RRT*,5031,20564,0.0176051,1.80618
97,RRT,84,20610,0.00647465,8.09452
