PairID,Algorithm,PlanningTime_ms,ExecutionTime_ms,Smoothness,PathLength
1,RRT,114,21841,0.0055009,5.23206
1,RRT*,5045,11801,0.00344483,3.27702
2,RRT,67,22162,0.00549266,4.24433
2,RRT*,5049,17801,0.00318097,3.02608
3,RRT,51,17697,0.01851,1.50992
3,RRT*,5065,11133,0.0038672,4.56647
4,RRT,51,21675,0.0119677,4.55587
4,RRT*,5037,15756,0.0042182,3.78236
5,RRT,83,8654,0.00499292,5.51522
5,RRT*,5028,11240,0.0181109,1.48559
6,RRT,63,7465,0.00316678,3.01267
6,RRT*,5034,12488,0.0192515,1.56182
7,RRT,81,16799,0.00737789,4.13166
7,RRT*,5026,11233,0.0178722,1.74372
8,RRT,88,21936,0.00595118,5.65616
8,RRT*,5032,26851,0.0165077,1.39829
9,RRT,73,21840,0.0069892,2.61182
9,RRT*,5027,13846,0.0165028,1.39827
10,RRT,77,15352,0.00521698,4.96281
10,RRT*,5041,17309,0.0165093,1.3982
11,RRT,83,21948,0.00487949,3.42916
11,RRT*,5024,19463,0.0174218,1.78465
12,RRT,130,6112,0.00603352,5.73359
12,RRT*,5030,26013,0.0160028,1.84384
13,RRT,77,21909,0.00337615,4.96733
13,RRT*,5030,11091,0.0170523,1.43448
14,RRT,108,21926,0.00336291,3.19896
14,RRT*,5019,26923,0.0169051,1.42664
15,RRT,75,21074,0.00420417,4.01358
15,RRT*,5027,11400,0.0179414,1.73994
16,RRT,60,21830,0.0109886,4.24934
16,RRT*,5046,18753,0.00319652,3.04132
17,RRT,74,15509,0.00670202,6.23975
17,RRT*,5052,11340,0.00442822,3.78551
18,RRT,70,21837,0.00353056,3.35767
18,RRT*,5028,11297,0.0165176,1.3989
19,RRT,64,21875,0.00462375,4.8938
19,RRT*,5030,22205,0.0173686,1.45902
20,RRT,59,18394,0.0034745,5.16684
20,RRT*,5029,20902,0.0173367,1.4545
21,RRT,43,21726,0.0169231,1.42618
21,RRT*,5043,11082,0.00316124,3.00653
22,RRT,60,16614,0.00431072,3.76755
22,RRT*,5036,11078,0.00550589,3.96011
23,RRT,68,21714,0.00541932,5.59962
23,RRT*,5038,26699,0.00329965,3.13897
