PairID,Algorithm,PlanningTime_ms,ExecutionTime_ms,Smoothness,PathLength
1,RRT,84,20136,0.00272839,4.07114
1,RRT*,5050,21722,0.00904195,3.97685
2,RRT,72,10909,0.00337813,5.45768
2,RRT*,5044,22320,0.0174566,1.0538
3,RRT,86,25249,0.00485717,6.67378
3,RRT*,5042,21415,0.00293309,4.51831
4,RRT,91,13433,0.00421844,6.92702
4,RRT*,5042,2,0.041336,0.50425
5,RRT,90,16435,0.00436669,4.47962
5,RRT*,5073,22934,0.00446853,4.5486
6,RRT,97,23531,0.00381052,4.2468
6,RRT*,5046,20711,0.00842234,4.05019
7,RRT,106,17786,0.00286385,8.43521
7,RRT*,5037,17143,0.00687845,3.76135
8,RRT,75,4661,0.00411873,7.49213
8,RRT*,5025,27108,0.0231621,1.20775
9,RRT,91,23483,0.00325369,5.73601
9,RRT*,5038,12245,0.0290176,0.923375
10,RRT,44,29341,0.013043,2.08308
10,RRT*,5029,23260,0.0141519,2.13774
11,RRT,94,18370,0.0045558,6.02486
11,RRT*,5040,25917,0.00765894,4.4171
12,RRT,84,14516,0.0026996,5.94747
12,RRT*,5077,8387,0.00337374,3.94724
13,RRT,80,30367,0.00356251,5.82914
13,RRT*,5080,44654,0.00317082,5.4943
14,RRT,125,20155,0.00307803,6.93142
14,RRT*,5053,18567,0.00477063,5.29896
15,RRT,52,13075,0.0126449,1.85751
15,RRT*,5071,41080,0.00228586,5.47832
16,RRT,61,26414,0.00734763,2.86841
16,RRT*,5044,14708,0.0108157,2.23595
17,RRT,94,22095,0.00475962,5.79129
17,RRT*,5059,19106,0.0045733,3.83354
18,RRT,71,14477,0.00763801,5.23586
18,RRT*,5046,15001,0.0139761,1.15752
19,RRT,63,22503,0.00382765,4.97757
19,RRT*,5081,27612,0.00913033,4.39863
20,RRT,123,26116,0.00332286,7.50019
20,RRT*,5040,26080,0.0165904,1.91921
21,RRT,79,23645,0.00304542,4.73938
21,RRT*,5041,7143,0.0120967,1.49402
22,RRT,156,20800,0.00372345,8.2251
22,RRT*,5070,26069,0.00234508,6.09662
23,RRT,93,20388,0.00371752,5.43393
23,RRT*,5078,25542,0.00513558,5.03535
24,RRT,101,26473,0.00624587,5.83598
24,RRT*,5059,27275,0.00564624,4.09253
25,RRT,72,21085,0.0061007,5.17305
25,RRT*,5056,22468,0.00763026,4.77564
26,RRT,138,19641,0.00606913,6.5775
26,RRT*,5048,12993,0.0114363,2.06344
27,RRT,100,25363,0.00506621,5.96341
27,RRT*,5084,17750,0.00453394,3.73315
28,RRT,100,12577,0.00312355,5.5273
28,RRT*,5067,23559,0.00641802,3.43098
29,RRT,70,13968,0.00390834,4.33924
29,RRT*,5038,24169,0.00601004,2.86503
30,RRT,89,25362,0.00817083,4.65777
30,RRT*,5062,26181,0.00463352,5.72913
31,RRT,95,22121,0.0041651,5.31268
31,RRT*,5038,18808,0.00463926,3.1159
32,RRT,97,14811,0.00232418,6.08855
32,RRT*,5042,13811,0.0122705,2.12949
33,RRT,97,20556,0.0052678,6.72249
33,RRT*,5038,8245,0.0219383,0.63085
34,RRT,50,16846,0.0147881,1.97314
34,RRT*,5060,13146,0.00468886,2.91977
35,RRT,65,11524,0.00244686,4.53637
35,RRT*,5059,16461,0.00875988,2.09809
36,RRT,92,10861,0.00982365,2.23412
36,RRT*,5056,16173,0.00780083,3.14507
37,RRT,69,26576,0.00540924,5.89707
37,RRT*,5047,22363,0.00395189,3.76386
38,RRT,92,16489,0.00449133,4.44938
38,RRT*,5061,24176,0.00271437,3.83967
39,RRT,127,26044,0.00265155,6.77618
39,RRT*,5043,15661,0.00488221,2.88419
40,RRT,85,17899,0.00398323,5.42119
40,RRT*,5081,22940,0.0085653,4.48054
41,RRT,112,35122,0.00286293,5.75205
41,RRT*,5090,23129,0.00231072,5.20657
42,RRT,102,27258,0.0254824,4.76587
42,RRT*,5060,25772,0.00802218,5.26487
43,RRT,95,25149,0.00394088,4.85755
43,RRT*,5033,14111,0.0103621,1.61416
44,RRT,88,16977,0.00542108,6.47481
44,RRT*,5048,23773,0.00315998,4.72583
45,RRT,76,19272,0.00918978,4.61927
45,RRT*,5078,29577,0.0060271,4.55632
46,RRT,109,30727,0.00299875,6.08159
46,RRT*,5070,9654,0.00336516,5.20089
47,RRT,90,29054,0.00504158,7.00495
47,RRT*,5040,25295,0.0222612,0.858425
48,RRT,109,19052,0.00422964,3.0042
48,RRT*,5067,30997,0.00425403,3.02257
49,RRT,89,16188,0.00446498,4.42824
49,RRT*,5048,24412,0.00638091,4.66345
50,RRT,67,25138,0.00518296,5.90026
50,RRT*,5053,24056,0.00610104,4.08961
51,RRT,119,22055,0.00577008,6.53492
51,RRT*,5033,12298,0.0155109,1.54561
52,RRT,98,38511,0.00339719,5.91798
52,RRT*,5067,39426,0.00297954,5.03218
53,RRT,103,22037,0.0031963,7.15645
53,RRT*,5053,19555,0.00442968,5.38454
54,RRT,85,19528,0.00647822,3.6432
54,RRT*,5034,10643,0.0167885,1.47367
55,RRT,112,16352,0.00723824,6.14384
55,RRT*,5036,14951,0.00875401,1.96227
56,RRT,63,40232,0.00702799,5.37921
56,RRT*,5041,24411,0.00729343,4.51416
57,RRT,111,22413,0.00273067,4.71951
57,RRT*,5080,25822,0.00323427,4.88857
58,RRT,67,22073,0.00441809,4.76122
58,RRT*,5057,25416,0.0025754,4.16298
59,RRT,93,29339,0.00521837,4.60628
59,RRT*,5068,28328,0.0043886,3.09037
60,RRT,92,20442,0.0039897,4.7412
60,RRT*,5042,21673,0.00524957,3.41752
61,RRT,98,26728,0.00458938,7.43103
61,RRT*,5059,24814,0.00272716,3.98664
62,RRT,100,39292,0.00827184,4.58596
62,RRT*,5059,21573,0.00451877,4.48528
63,RRT,101,7049,0.00358967,6.00774
63,RRT*,5042,11598,0.0148962,1.33673
64,RRT,95,20457,0.0150335,3.28694
64,RRT*,5078,27923,0.0024164,5.07101
65,RRT,63,22111,0.00464446,4.68048
65,RRT*,5059,28146,0.00986815,5.09688
66,RRT,117,14919,0.0142094,5.99512
66,RRT*,5066,27913,0.00512091,4.97835
67,RRT,101,21444,0.00382277,5.09159
67,RRT*,5063,25456,0.00391373,5.57058
68,RRT,94,34388,0.00621938,5.49446
68,RRT*,5065,29518,0.00498779,4.09303
69,RRT,77,28047,0.00678157,5.4938
69,RRT*,5062,24098,0.00730678,5.13045
70,RRT,99,20244,0.00259737,5.9299
70,RRT*,5063,23292,0.010605,5.03459
71,RRT,93,26950,0.00311179,6.01314
71,RRT*,5036,30745,0.0117341,4.18886
72,RRT,87,20348,0.00443387,6.6269
72,RRT*,5048,19809,0.0078883,4.24434
73,RRT,103,25545,0.0027347,7.36857
73,RRT*,5058,23622,0.00423958,4.90515
74,RRT,77,31513,0.0134031,5.2406
74,RRT*,5043,21415,0.00506293,4.24131
75,RRT,89,22825,0.00377255,4.07376
75,RRT*,5033,9990,0.0216524,1.67032
76,RRT,84,13363,0.00738122,6.15153
76,RRT*,5031,24061,0.00933421,2.96171
77,RRT,87,27408,0.00460035,5.67725
77,RRT*,5050,24350,0.00507044,3.56358
