PairID,Algorithm,Time,Joint1_Position,Joint1_Velocity,Joint1_Acceleration,Joint2_Position,Joint2_Velocity,Joint2_Acceleration,Joint3_Position,Joint3_Velocity,Joint3_Acceleration,Joint4_Position,Joint4_Velocity,Joint4_Acceleration,Joint5_Position,Joint5_Velocity,Joint5_Acceleration,Joint6_Position,Joint6_Velocity,Joint6_Acceleration,Joint7_Position,Joint7_Velocity,Joint7_Acceleration
1,RRT,0,-0.61352,0.724856,-2.35725,1.61129,2.57129,-2.09314,-0.337449,0,-0,0,-0,-0,0,-0,0,0,0,0,0,0,0
1,RRT,0.1,-0.613334,0.724513,-2.356,1.61072,2.57072,-2.09294,-0.338105,0.00371993,-0.00684744,0.025,-0.0114142,-0.0113478,0.0039157,-0.013115,0.0371993,-0.0684744,0.25,-0.114142,-0.113478,0.039157,-0.13115
1,RRT,0.2,-0.612776,0.723486,-2.35225,1.60901,2.56902,-2.09235,-0.340072,0.00743986,-0.0136949,0.05,-0.0228284,-0.0226956,0.0078314,-0.02623,0.0371993,-0.0684744,0.25,-0.114142,-0.113478,0.039157,-0.13115
1,RRT,0.3,-0.611846,0.721774,-2.346,1.60616,2.56619,-2.09138,-0.343351,0.0111598,-0.0205423,0.075,-0.0342426,-0.0340433,0.0117471,-0.039345,0.0371993,-0.0684744,0.25,-0.114142,-0.113478,0.039157,-0.13115
1,RRT,0.4,-0.610544,0.719378,-2.33725,1.60216,2.56221,-2.09001,-0.347941,0.0148797,-0.0273898,0.1,-0.0456568,-0.0453911,0.0156628,-0.05246,0.0371993,-0.0684744,0.25,-0.114142,-0.113478,0.039157,-0.13115
1,RRT,0.5,-0.60887,0.716296,-2.326,1.59703,2.55711,-2.08824,-0.353843,0.0185996,-0.0342372,0.125,-0.057071,-0.0567389,0.0195785,-0.0655749,0.0371993,-0.0684744,0.25,-0.114142,-0.113478,0.039157,-0.13115
1,RRT,0.6,-0.606824,0.71253,-2.31225,1.59075,2.55087,-2.08609,-0.361056,0.0223196,-0.0410846,0.15,-0.0684852,-0.0680867,0.0234942,-0.0786899,0.0371993,-0.0684744,0.25,-0.114142,-0.113478,0.039157,-0.13115
1,RRT,0.7,-0.604406,0.708079,-2.296,1.58333,2.54349,-2.08354,-0.369581,0.0259696,-0.0478033,0.17453,-0.0796849,-0.0792211,0.0273363,-0.0915584,7.6376e-13,-1.40948e-12,5.13802e-12,-2.34683e-12,-2.33294e-12,8.01948e-13,-2.69399e-12
1,RRT,0.8,-0.601809,0.703299,-2.27855,1.57536,2.53557,-2.08081,-0.378737,0.0259696,-0.0478033,0.17453,-0.0796849,-0.0792211,0.0273363,-0.0915584,7.66626e-13,-1.41358e-12,5.14575e-12,-2.34849e-12,-2.33354e-12,8.07762e-13,-2.7075e-12
1,RRT,0.9,-0.599212,0.698519,-2.26109,1.56739,2.52765,-2.07808,-0.387892,0.0259696,-0.0478033,0.17453,-0.0796849,-0.0792211,0.0273363,-0.0915584,7.6592e-13,-1.41027e-12,5.15476e-12,-2.35044e-12,-2.33423e-12,8.06445e-13,-2.70706e-12
